ID,Title,State,State Reason,Number,Created At,Updated At,Closed At,URL,Author,Labels,Assignees,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,24,,
I_kwDOAJZX9s6jrvYL,Member script injected when url:false is set,CLOSED,COMPLETED,21907,2024-12-17T21:46:02Z,2024-12-19T22:53:33Z,2024-12-18T20:08:42Z,https://github.com/TryGhost/Ghost/issues/21907,ltoinel,,,"kevinansfield (2024-12-18T20:08:42Z): Setting the portal url to `false` has never been supported so this isn't a recent regression.

If you don't want the core portal script (or a custom version) to be loaded then you'll need to disable members, donations, and recommendations in your site settings. If you use any of those features you'll need the portal script to be present for them to work. | ltoinel (2024-12-19T08:26:54Z): @kevinansfield : Documentation issue ? 
""The script can be relocated by changing the URL, or disabled entirely by setting ""url"": false.""
https://ghost.org/docs/config/ | ltoinel (2024-12-19T21:51:22Z): If found my issue, recommandations needs also to be disabled to avoid to load the portal JS helper in the header.

```
if (!settingsCache.get('members_enabled') && !settingsCache.get('donations_enabled') && !settingsCache.get('recommendations_enabled')) {
        return '';
}
```

The  ""url"": false"" has no effect and should be removed from the documentation or we have to add : 

```
if (!scriptUrl) {
        return '';
}
```

In the getMembersHelper function, like the getSearchHelper function.

https://github.com/TryGhost/Ghost/pull/21936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,
I_kwDOAJZX9s6jgSGA,Problem with ./partials/navigation.hbs,CLOSED,NOT_PLANNED,21894,2024-12-16T18:57:31Z,2024-12-19T13:06:43Z,2024-12-19T13:06:42Z,https://github.com/TryGhost/Ghost/issues/21894,joe-blocher,needs:info,,"ErisDS (2024-12-17T09:08:43Z): Can you provide me with the contents of your `navigation.hbs` file so I can try to reproduce please? | github-actions (2024-12-17T09:09:03Z): Note from our bot: The `needs:info` label has been added to this issue. Updating your original issue with more details is great, but won't notify us, so please make sure you leave a comment so that we can see when you've updated us. | joe-blocher (2024-12-17T09:22:09Z): I think the content of `navigation.hbs` is irrelevant, because it always work when I use `./partials/nav.hbs` - see step 2.
But I have some code published in the forum:
[https://forum.ghost.org/t/problem-with-navigation/53376/3](https://forum.ghost.org/t/problem-with-navigation/53376/3)
Or can it be relevant? | ErisDS (2024-12-19T10:21:48Z): I'm not able to reproduce the issue with the information I have so far. 

Here's my reproduction steps:

1. Create a new folder, run `ghost install local`
2. Open up the source theme, and add a `navigation.hbs` in the /partials folder
3. Put the following content into the `navigation.hbs` file:
```
My Navigation

<ul class=""nav"">
    {{#foreach navigation}}
    <li class=""{{link_class for=(url) class=(concat ""nav-"" slug)}}""><a href=""{{url absolute=""true""}}"">{{label}}</a></li>
    {{/foreach}}
</ul>
```
4. Check the site, notice that the navigation now says ""My Navigation Home About""
5. Run `ghost restart`
6. Check the site again
7. Repeat the last 2 steps several times

Every time I run `ghost restart` I still see the custom navigation partial loaded.

Therefore there must be something else about your setup that causes the issue, and my first guess would be the contents of the file. | joe-blocher (2024-12-19T11:55:03Z): Thank you for your efforts.
In source theme is no problem. I think is my theme with all the components around (tailwind, ...) that is responsible for the error. I will do it with `partial/nav.hbs` - see step 2, this works. 

**But another problem is the bug I reported in July 2023:  Make this site private** 
It's still is open. But I made a pull request with an easy solution. 
[https://github.com/TryGhost/Ghost/issues/17514](https://github.com/TryGhost/Ghost/issues/17514)

It was merged and reverted: 
[https://github.com/TryGhost/Ghost/pull/19298](https://github.com/TryGhost/Ghost/pull/19298)
I don't no why... I recently send a message to [ronaldlangeveld](https://github.com/ronaldlangeveld) without a anwers.

I need it not only for development. Even in production mode on a server this is a big problem.
I use it as maintenance mode when the website is in progress.
Other user had the same problem.

Please fixed the bug. 
I always had to change the two lines of code when I have a new installation or run an update.
Thank you


 | ErisDS (2024-12-19T13:06:43Z): OK `partial/nav.hbs` should be unnecessary, there's probably a bug somewhere and I'd want to track it down in case it's worse in production.

I'll close this for now but happy to have a look if you have more reproduction info.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
I_kwDOAJZX9s6jNrp2,Installing ghost-cli using Yarn does not work,CLOSED,NOT_PLANNED,21883,2024-12-13T12:21:42Z,2024-12-20T16:50:18Z,2024-12-16T09:31:43Z,https://github.com/TryGhost/Ghost/issues/21883,harry643,self hosting,,"github-actions (2024-12-16T09:31:43Z): Hey @harry643 👋 We ask that you please do not use GitHub for help or support 😄. We use GitHub solely for bug-tracking and community-driven development.

Many questions can be answered by reviewing our [documentation](https://ghost.org/docs/). If you can't find an answer then our [forum](https://forum.ghost.org/c/help/6) is a great place to get community support, plus it helps create a central location for searching problems/solutions.

FYI: Many projects use issue templates to point you in the right direction. Reading the guidelines or issue templates before opening issues can save you and project maintainers valuable time. | github-actions (2024-12-16T09:32:14Z): Hey @harry643 👋

We've reviewed your bug report and believe the issue is environment specific, rather than a bug. Many questions can be answered by reviewing our [documentation](https://ghost.org/docs/). If you can't find an answer then our [forum](https://forum.ghost.org/c/help/self-hosting/18) is a great place to get community support, plus it helps create a central location for searching problems/solutions. | harry643 (2024-12-20T16:50:17Z): I've solved it. Please can the following be added to the [Ghost docs](https://ghost.org/docs/install/local/#install-ghost-cli) to save others 2 days of pain:
```bash
yarn add ghost-cli@latest
yarn exec ghost install local
```",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6jJgKv,Post email test is blocked by UI when Mailgun is not configured,CLOSED,COMPLETED,21882,2024-12-13T01:22:08Z,2024-12-13T04:08:21Z,2024-12-13T04:08:08Z,https://github.com/TryGhost/Ghost/issues/21882,markdon,,,"vikaspotluri123 (2024-12-13T02:19:06Z): This seems reasonable since sending newsletters requires [bulk email](https://ghost.org/docs/newsletters/) to be configured in the admin panel | markdon (2024-12-13T04:08:09Z): Oh damn, thanks for the link. Mailgun really is required, and is the only option, for bulk email!

As far as I understand, Amazon SES should be suitable for bulk email via SMTP. I went with Amazon SES because it's familiar and appears to be FAR CHEAPER than Mailgun if you have 101+ subscribers. Mailgun free tier is limited to 100 emails/day, then USD$15/month for any more.

I found a [forum thread on this topic](https://forum.ghost.org/t/sending-emails-without-using-mailgun/26554/15) that you, @vikaspotluri123, contributed to. Love your work. 

I'm probably going to have to go down this path from https://ghost.org/docs/faq/mailgun-newsletters/

### I still want to use a different provider to send email newsletters, why can’t I do that?
You can. There is no requirement to use Ghost’s built in newsletter delivery feature. Before we released this feature, thousands of people sent their newsletter using all sorts of other services such as Mailchimp, Sendgrid, Convertkit, and many others. You can easily sync your members database to an external newsletter provider via [Zapier](https://ghost.org/integrations/zapier/), or by following our [detailed integration guides](https://ghost.org/integrations/?tag=email).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6jEM-0,Testy McTestFace,CLOSED,COMPLETED,21876,2024-12-12T12:38:36Z,2024-12-12T12:41:58Z,2024-12-12T12:41:48Z,https://github.com/TryGhost/Ghost/issues/21876,ErisDS,,,ErisDS (2024-12-12T12:41:49Z): Sorry for the noise ☺️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6hviIf,Fixing URL Structure Issue: From 'domain.com/title' to 'domain.com/page/title,CLOSED,COMPLETED,21785,2024-12-02T23:13:04Z,2024-12-03T03:36:41Z,2024-12-03T03:36:29Z,https://github.com/TryGhost/Ghost/issues/21785,FaraLyla,,,"allouis (2024-12-03T03:36:29Z): Hey! If you're having trouble with a Ghost(Pro) site, please email us at support@ghost.org and we'll help you out there!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6grspq,Blank Settings Dashboard,CLOSED,NOT_PLANNED,21732,2024-11-26T19:15:37Z,2024-12-03T09:23:22Z,2024-12-03T09:19:47Z,https://github.com/TryGhost/Ghost/issues/21732,ednomuniz,support request,,"github-actions (2024-12-03T09:19:47Z): Hey @ednomuniz 👋 We ask that you please do not use GitHub for help or support 😄. We use GitHub solely for bug-tracking and community-driven development.

Many questions can be answered by reviewing our [documentation](https://ghost.org/docs/). If you can't find an answer then our [forum](https://forum.ghost.org/c/help/6) is a great place to get community support, plus it helps create a central location for searching problems/solutions.

FYI: Many projects use issue templates to point you in the right direction. Reading the guidelines or issue templates before opening issues can save you and project maintainers valuable time. | allouis (2024-12-03T09:23:19Z): Hey! It looks like you're running on an unsupported MySQL version (see https://ghost.org/docs/faq/supported-databases/) - I would try to contact your hosting provider to make sure you're running the latest version of Ghost, a supported database version and to rule out any environmental issues! 

If you're still having problems after that, perhaps your hosting provider would be able to provide some more information or steps to reproduce the problem

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6gAVNX,email render - i18n strings may not fit,CLOSED,NOT_PLANNED,21700,2024-11-22T20:17:43Z,2024-12-02T03:13:35Z,2024-12-02T03:13:35Z,https://github.com/TryGhost/Ghost/issues/21700,cathysarisky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6f_Kho,The slide-out panel inside Ghost's admin on mobile lacks intuitive close triggers,CLOSED,COMPLETED,21698,2024-11-22T18:15:30Z,2024-12-11T09:18:41Z,2024-12-11T09:17:29Z,https://github.com/TryGhost/Ghost/issues/21698,alexgmathews,"bug, P3 - Medium",dvdwinden,"dvdwinden (2024-12-10T14:23:03Z): Thank you for flagging this, @alexgmathews — a solution is in the works. We'll update you here once it's out. | dvdwinden (2024-12-11T09:18:39Z): A fix for this has merged and will be included in our next release. With this change, you can now also tap the 'More' button or any other menu item to have the menu close itself again. You can also tap outside of the menu (on the background) to dismiss it. 


https://github.com/user-attachments/assets/f0508ecf-9f38-4ba5-8fb5-8fab2d53743a

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
I_kwDOAJZX9s6ffXC-,Portal i8n translation failure,CLOSED,NOT_PLANNED,21668,2024-11-20T13:07:21Z,2024-11-20T15:32:04Z,2024-11-20T15:31:54Z,https://github.com/TryGhost/Ghost/issues/21668,scope-icv,,,"9larsons (2024-11-20T14:21:51Z): @scope-icv It looks fine to me. Have you enabled Portal translations in the Labs settings?
![CleanShot 2024-11-20 at 08 21 12](https://github.com/user-attachments/assets/b2e98bc6-d2b1-421f-8991-cb37d9a8be3d)
 | scope-icv (2024-11-20T15:30:20Z): My fault.... It was a theme locale issue. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
