ID,Title,State,State Reason,Number,Created At,Updated At,Closed At,URL,Author,Labels,Assignees,Comments,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,0,0.1,0.2,24,Classification
I_kwDOAJZX9s6cs998,Unable to Correctly Render Colored Text in Ghost ,CLOSED,NOT_PLANNED,21496.0,2024-11-01T13:26:37Z,2024-11-04T11:26:49Z,2024-11-04T11:12:17Z,https://github.com/TryGhost/Ghost/issues/21496,imseanpan,support request,,"imseanpan (2024-11-03T10:19:52Z): ### Update

After further debugging, I found that the saved HTML used the `render` method from the `kg-lexical-html-renderer` package. Fortunately, I found the `render(): string` method in the `utils->TextContent.ts` file and discovered that the `node` object does have the `__style` property. However, the `LexicalNode` defined in TypeScript does not include this property.

To verify this issue, I added the following experimental code:

```typescript
// imseanpan add test code
if (node.__style !== '') {
    const span = document.createElement('span');            
    span.setAttribute('style', node.__style);
    span.textContent = node.getTextContent();
    currentNode.append(span);            
    continue;
}
```
It appears to be working successfully. Although my code ran successfully, it is not rigorous. Therefore, I'm just identifying the issue and confirming the problematic code location. If possible, I hope the official team can quickly fix this issue and add support for changing text color so that we can happily use Ghost. 

<img width=""1350"" alt=""20241103180642"" src=""https://github.com/user-attachments/assets/5c315108-5c0c-40da-91b8-8d49dc6e58da"">

<img width=""878"" alt=""20241103181511"" src=""https://github.com/user-attachments/assets/b18bc8bb-27c2-4924-b8bd-df5a29fd0781"">

<img width=""825"" alt=""20241103181708"" src=""https://github.com/user-attachments/assets/67775cc2-cecd-4e8e-9b3c-1f0a2e8723ab"">

Thank you!
 | kevinansfield (2024-11-04T11:11:24Z): Style support for text was intentionally left out. I thought we also had a transform to strip style properties on the Lexical side of things too but I can't find that now.

It's a design decision for our editor to provide minimal routes to creating poorly designed content and text color was a big part of that, not just for design but because of the accessibility issues that can create across light/dark mode and ensuring content displays correctly across different themes. On top of that, style attributes can leak across copy/paste into the editor which then creates a whole lot of other issues because there's no real way to undo that unless you add in support for editing all of the different styles that can be attached.

As such I wouldn't consider this a bug. If you're looking to make changes in your own fork then the forum ([I see you've already duplicated your question there](https://forum.ghost.org/t/unable-to-correctly-render-colored-text-in-ghost/52144/1)) is a better place to get support.<br><br>\_If\_ we were to support text color it would likely be done via a custom property on our lexical nodes that is rendered as a class attribute. That way Ghost would be able to provide some default colours which can be overridden by themes, without hard-coded style attributes causing potential problems. | github-actions (2024-11-04T11:12:20Z): Hey @imseanpan 👋 We ask that you please do not use GitHub for help or support 😄. We use GitHub solely for bug-tracking and community-driven development.

Many questions can be answered by reviewing our [documentation](https://ghost.org/docs/). If you can't find an answer then our [forum](https://forum.ghost.org/c/help/6) is a great place to get community support, plus it helps create a central location for searching problems/solutions.

FYI: Many projects use issue templates to point you in the right direction. Reading the guidelines or issue templates before opening issues can save you and project maintainers valuable time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s6b_7EA,[Bug] New member sign up notification email address is still noreply@domain.com instead of support email or config smtp email,CLOSED,COMPLETED,21423.0,2024-10-28T03:54:37Z,2024-10-29T16:45:40Z,2024-10-28T13:46:43Z,https://github.com/TryGhost/Ghost/issues/21423,MFYDev,,,"kevinansfield (2024-10-28T13:46:43Z): I've re-opened [the original issue](https://github.com/TryGhost/Ghost/issues/21423) to avoid duplicates. | markstos (2024-10-29T16:45:39Z): @kevinansfield Rather than linking back to a different issue, you accidentally make a circular reference back to this seem ticket. Looks like you meant to link to:

https://github.com/TryGhost/Ghost/issues/17922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s6H4Gho,Author slug with one letter causes failed filter,CLOSED,COMPLETED,20133.0,2024-05-05T17:07:40Z,2024-10-17T15:35:40Z,2024-10-17T15:35:28Z,https://github.com/TryGhost/Ghost/issues/20133,betschki,P4 - Low,,"Tanu1201 (2024-05-14T04:24:35Z): Hey, I am Tanu sharma having 2 year of exp in SDE field can I take this issue? | StanTraykov (2024-06-30T16:30:44Z): Can confirm with current Ghost(Pro) trial; disagree somewhat with the 'low' categorization. It's stressful to a new user as the error message is so unrelated as to cause general alarm of having broken everything :). Once the cause is known (thanks for submitting this issue!), it can be resolved easily for the existing user. | cathysarisky (2024-10-08T18:03:48Z): This looks to be deep within @tryghost/nql-lang...  | vikaspotluri123 (2024-10-08T18:48:00Z): Speaking of which... I'm pretty sure this is a duplicate of https://github.com/TryGhost/NQL/issues/20 | cathysarisky (2024-10-08T18:53:34Z): Agreed. Should retitle this issue “bad slugs generated on user creation”…. 

I've filed a PR that makes it impossible to get into this state (since fixing the NQL issue is a bigger issue)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s6DrPpk,Ghost cannot connect to Mysql AWS RDS instance with latest CA from AWS,CLOSED,COMPLETED,19928.0,2024-03-26T19:33:32Z,2024-03-28T10:18:52Z,2024-03-28T10:18:41Z,https://github.com/TryGhost/Ghost/issues/19928,alexgorb2016,,,vikaspotluri123 (2024-03-27T02:35:47Z): Seems to be a duplicate of https://github.com/TryGhost/Ghost/issues/19462 | daniellockyer (2024-03-28T10:18:41Z): This is fixed in https://github.com/TryGhost/Ghost/commit/ec25aed06f853ad222ebd2706304e66309112270 and will be released with the next version of Ghost 🙂 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s59B77l,Deleting a published post leaves you in the editor,CLOSED,NOT_PLANNED,19563.0,2024-01-24T07:54:10Z,2024-02-05T23:57:37Z,2024-01-24T07:56:30Z,https://github.com/TryGhost/Ghost/issues/19563,danielraffel,,,daniellockyer (2024-01-24T07:56:30Z): Duplicate of [https://github.com/TryGhost/Ghost/issues/19408](https://github.com/TryGhost/Ghost/issues/19408) | danielraffel (2024-02-05T23:57:35Z): This is reproducible in ghost 5.79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s58_IEM,🐛 Custom excerpts containing escaped characters are truncated inappropriately,CLOSED,NOT_PLANNED,19559.0,2024-01-23T20:26:13Z,2024-01-24T14:31:55Z,2024-01-24T14:31:11Z,https://github.com/TryGhost/Ghost/issues/19559,9larsons,,9larsons,55sketch (2024-01-24T14:31:54Z): Closed as duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s56mUQl,can't return to previous page after deleting post,CLOSED,COMPLETED,19408.0,2023-12-27T03:19:07Z,2024-04-22T15:39:33Z,2024-01-26T02:46:16Z,https://github.com/TryGhost/Ghost/issues/19408,JaydenForYou,"bug, affects:editor",,"kevinansfield (2024-01-24T08:07:18Z): Is this still reproducible? [A related fix](https://github.com/TryGhost/Ghost/pull/19369) was included in the 5.76.0 release and I've been unable to reproduce in my own tests. | JaydenForYou (2024-01-26T02:46:16Z): > Is this still reproducible? [A related fix](https://github.com/TryGhost/Ghost/pull/19369) was included in the 5.76.0 release and I've been unable to reproduce in my own tests.

[confirmed]bug fixed in the 5.76.0.thanks. | danielraffel (2024-02-05T23:59:02Z): This bug was marked as a duplicate of #19563 however it is still reproductive in ghost 5.79.0 | danielraffel (2024-02-05T23:59:39Z): > Is this still reproducible? [A related fix](https://github.com/TryGhost/Ghost/pull/19369) was included in the 5.76.0 release and I've been unable to reproduce in my own tests.

Yea I can reproduce in #19563 in ghost 5.79.0 | mfitzp (2024-02-18T20:30:11Z): I've just created a new site on Ghost Pro & still see this bug. However, I imported the articles from another install. Perhaps there is something in the imported articles that is causing this? If I create a new post from scratch, and then delete that, there is no error.

The traceback is 

```js
Uncaught (in promise) Error: Attempted to set 'lexical' on the deleted record <post:65d20658f6311b0001575eb6>
    at Ye.setDirtyAttribute (-private.js:4752:1)
    at e.set (-private.js:148:1)
    at Me._set (index.js:1776:1)
    at Me.set (index.js:1727:1)
    at e.r [as lexical] (index.js:878:1)
    at Oe (index.js:1327:1)
    at index.js:1357:1
    at Oe (index.js:1323:1)
    at we.set (observable.js:172:1)
    at we.beforeSaveTask (lexical-editor.js:544:1)
    at beforeSaveTask.next (<anonymous>)
    at e.GeneratorState.step (generator-state.js:28:1)
    at e.TaskInstanceExecutor.generatorStep (executor.js:243:1)
    at e.TaskInstanceExecutor.handleResolvedContinueValue (executor.js:123:1)
    at e.TaskInstanceExecutor.proceedSync (executor.js:87:1)
    at e.TaskInstanceExecutor.start (executor.js:39:1)
    at i.start (base.js:56:1)
    at refresh.js:23:1
    at Array.forEach (<anonymous>)
    at e.default.process (refresh.js:23:1)
    at r.refresh (scheduler.js:47:1)
    at r.perform (scheduler.js:39:1)
    at a._performShared (task.js:68:1)
    at a._perform (task.js:56:1)
    at we.saveTask (lexical-editor.js:467:1)
    at saveTask.next (<anonymous>)
    at e.GeneratorState.step (generator-state.js:28:1)
    at e.TaskInstanceExecutor.generatorStep (executor.js:243:1)
    at e.TaskInstanceExecutor.handleResolvedContinueValue (executor.js:123:1)
    at e.TaskInstanceExecutor.proceedSync (executor.js:87:1)
    at e.TaskInstanceExecutor.start (executor.js:39:1)
    at i.start (base.js:56:1)
    at refresh.js:23:1
    at Array.forEach (<anonymous>)
    at e.default.process (refresh.js:23:1)
    at r.refresh (scheduler.js:47:1)
    at r.perform (scheduler.js:39:1)
    at a._performShared (task.js:68:1)
    at a._perform (task.js:56:1)
    at we.autosaveTask (lexical-editor.js:408:1)
    at autosaveTask.next (<anonymous>)
    at e.GeneratorState.step (generator-state.js:28:1)
    at e.TaskInstanceExecutor.generatorStep (executor.js:243:1)
    at e.TaskInstanceExecutor.handleResolvedContinueValue (executor.js:123:1)
    at e.TaskInstanceExecutor.proceedSync (executor.js:87:1)
    at e.TaskInstanceExecutor.start (executor.js:39:1)
    at i.start (base.js:56:1)
    at refresh.js:23:1
    at Array.forEach (<anonymous>)
    at e.default.process (refresh.js:23:1)
``` | AbdoCode (2024-04-22T15:39:32Z): Bug still exists in ghost 5.81.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s537Sa8,Input image exceeds pixel limit,CLOSED,NOT_PLANNED,19141.0,2023-11-27T11:05:52Z,2024-04-03T09:05:14Z,2024-04-03T09:05:14Z,https://github.com/TryGhost/Ghost/issues/19141,truekasun,"bug, stale",,"daniellockyer (2023-11-28T08:57:19Z): This is a duplicate of https://github.com/TryGhost/Ghost/issues/17278, but it was closed at the time. I'll tag this one a bug and accept PRs to fix it 🙂  | github-actions (2024-03-27T09:04:45Z): Our bot has automatically marked this issue as stale because there has not been any activity here in some time.

The issue will be closed soon if there are no further updates, however we ask that you do not post comments to keep the issue open if you are not actively working on a PR.

We keep the issue list minimal so we can keep focus on the most pressing issues. Closed issues can always be reopened if a new contributor is found. Thank you for understanding 🙂",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s5334TQ,Installation from a .zip file breaks images in published posts,CLOSED,NOT_PLANNED,19132.0,2023-11-26T17:58:48Z,2023-11-27T07:51:10Z,2023-11-27T07:50:59Z,https://github.com/TryGhost/Ghost/issues/19132,ceecko,,,daniellockyer (2023-11-27T07:50:59Z): Closing as a duplicate of https://github.com/TryGhost/Ghost/issues/18948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
I_kwDOAJZX9s53G47q,Emoji picker of callout cards has a light background in dark mode,CLOSED,COMPLETED,19038.0,2023-11-17T05:14:50Z,2023-12-11T11:31:29Z,2023-12-11T11:31:29Z,https://github.com/TryGhost/Ghost/issues/19038,stromfeldt,"bug, affects:editor, P3 - Medium, design",sanne-san,"Abhishek7Tech (2023-11-18T13:50:15Z): Hello @stromfeldt @kevinansfield  I would like to contribute and fix this issue. | suprabhat15 (2023-11-18T19:58:56Z): hi @kevinansfield I am interested to work on this issue. | markstos (2023-11-21T13:18:32Z): @Abhishek7Tech @suprabhat15 Normally you don't have to wait for permission to contribute to open source. Just code a patch and submit a PR if you are interested.

Even if someone replies and says ""OK, go work on it"", there's not a guarantee your PR will be accepted anyway, perhaps for quality or style reasons.

If you want to want to let other people you are working on a PR so they don't duplicate effort, you can leave a note like ""I'm starting on a PR for this now"". 

And if you two of you want to contribute competing PRs, you can do that. The one that's contributed first or if some higher quality is likely the one to be merged. 

If the only reason you would be creating the PR is because you are interested in having it merged, and not because you would actually use it yourself, I suppose that's that's a reason to find out if there's interest first.

But this issue seems like it's a clearly a bug that the project would definitely want fixed.  | asenseofpradhyu (2023-11-21T16:23:03Z): Hello @stromfeldt 

The fix for this issue has been implemented in the [Koenig](https://github.com/TryGhost/Koenig) repository. Once the changes are merged, the dark mode will work in the emoji picker.

You can track the progress of the pull request https://github.com/TryGhost/Koenig/pull/1085

CC: @daniellockyer ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,Duplicate
